batch:4, sm:65, quota:90, latency:[29.631935]
batch:4, sm:65, quota:100, latency:[27.585503]
batch:4, sm:70, quota:10, latency:[390.26562]
batch:4, sm:70, quota:20, latency:[143.33148]
batch:4, sm:70, quota:30, latency:[94.457184]
batch:4, sm:70, quota:40, latency:[70.27618]
batch:4, sm:70, quota:50, latency:[54.22839]
batch:4, sm:70, quota:60, latency:[45.646374]
batch:4, sm:70, quota:70, latency:[34.153835]
batch:4, sm:70, quota:80, latency:[30.399256]
batch:4, sm:70, quota:90, latency:[29.207493]
batch:4, sm:70, quota:100, latency:[27.188385]
batch:4, sm:75, quota:10, latency:[390.48203]
batch:4, sm:75, quota:20, latency:[143.31378]
batch:4, sm:75, quota:30, latency:[94.43398]
batch:4, sm:75, quota:40, latency:[70.25103]
batch:4, sm:75, quota:50, latency:[54.291523]
batch:4, sm:75, quota:60, latency:[45.649254]
batch:4, sm:75, quota:70, latency:[34.118824]
batch:4, sm:75, quota:80, latency:[30.168732]
batch:4, sm:75, quota:90, latency:[28.699493]
batch:4, sm:75, quota:100, latency:[26.815586]
batch:4, sm:80, quota:10, latency:[390.6714]
batch:4, sm:80, quota:20, latency:[143.31143]
batch:4, sm:80, quota:30, latency:[94.409225]
batch:4, sm:80, quota:40, latency:[70.24235]
batch:4, sm:80, quota:50, latency:[54.35088]
batch:4, sm:80, quota:60, latency:[45.62604]
batch:4, sm:80, quota:70, latency:[34.085575]
batch:4, sm:80, quota:80, latency:[29.922073]
batch:4, sm:80, quota:90, latency:[28.057154]
batch:4, sm:80, quota:100, latency:[26.450262]
batch:4, sm:85, quota:10, latency:[390.8691]
batch:4, sm:85, quota:20, latency:[143.33542]
batch:4, sm:85, quota:30, latency:[94.43516]
batch:4, sm:85, quota:40, latency:[70.273766]
batch:4, sm:85, quota:50, latency:[54.412395]
batch:4, sm:85, quota:60, latency:[45.6115]
batch:4, sm:85, quota:70, latency:[34.058556]
batch:4, sm:85, quota:80, latency:[29.684998]
