epoch,step,test_loss,train_loss,val_loss
83,3812759,,0.052315711975097656,
84,3858149,,,0.051524385809898376
84,3858149,,0.051427725702524185,
85,3903539,,,0.04489559680223465
85,3903539,,0.05099281296133995,
86,3948929,,,0.04971152916550636
86,3948929,,0.051550138741731644,
87,3994319,,,0.04825722798705101
87,3994319,,0.052277278155088425,
88,4039709,,,0.051129817962646484
88,4039709,,0.05159379169344902,
89,4085099,,,0.0469452403485775
89,4085099,,0.05112364888191223,
90,4130489,,,0.05145691707730293
90,4130489,,0.050242651253938675,
91,4175879,,,0.05179810896515846
91,4175879,,0.050952646881341934,
92,4221269,,,0.054072003811597824
92,4221269,,0.05157608538866043,
93,4266659,,,0.05824341997504234
93,4266659,,0.051224999129772186,
94,4312049,,,0.05201017111539841
94,4312049,,0.0507844015955925,
95,4357439,,,0.04888799041509628
95,4357439,,0.050781406462192535,
96,4402829,,,0.04999905824661255
96,4402829,,0.052910078316926956,
97,4448219,,,0.05304987356066704
97,4448219,,0.050773151218891144,
98,4493609,,,0.050808537751436234
98,4493609,,0.05010875314474106,
99,4538999,,,0.048606693744659424
99,4538999,,0.051042649894952774,
100,4584389,,,0.052912794053554535
100,4584389,,0.05103304982185364,
101,4629779,,,0.0504467748105526
101,4629779,,0.04995106905698776,
102,4675169,,,0.047207411378622055
102,4675169,,0.050448548048734665,
103,4720559,,,0.04716554284095764
103,4720559,,0.0508887805044651,
104,4765949,,,0.05185462906956673
104,4765949,,0.05043622478842735,
105,4811339,,,0.05188194662332535
105,4811339,,0.07889892160892487,
106,4856729,,,0.053775426000356674
106,4856729,,0.050029654055833817,
107,4902119,,,0.0523984357714653
107,4902119,,0.05148279666900635,
108,4947509,,,0.056405652314424515
108,4947509,,0.05095691233873367,
109,4992899,,,0.05192555487155914
109,4992899,,0.05225368216633797,
110,5038289,,,0.04558621346950531
110,5038289,,0.05084815248847008,
111,5083679,,,0.04691426828503609
111,5083679,,0.05177158862352371,
112,5129069,,,0.05152009427547455
112,5129069,,0.04966438189148903,
113,5174459,,,0.06710903346538544
113,5174459,,0.04981725290417671,
114,5219849,,,0.05164993926882744
114,5219849,,0.04991786554455757,
115,5265239,,,0.050816163420677185
115,5265239,,0.052796751260757446,
116,5310629,,,0.04844134673476219
116,5310629,,0.050623830407857895,
117,5356019,,,0.05415733531117439
117,5356019,,0.0503096804022789,
118,5401409,,,0.047724127769470215
118,5401409,,0.05087690055370331,
119,5446799,,,0.05359060317277908
119,5446799,,0.05027230829000473,
120,5492189,,,0.05280137062072754
120,5492189,,0.04961453750729561,
121,5537579,,,0.04809165000915527
121,5537579,,0.049957118928432465,
122,5582969,,,0.0571170300245285
122,5582969,,0.05068051815032959,
123,5628359,,,0.04745239391922951
123,5628359,,0.05081562697887421,
124,5673749,,,0.06034678593277931
124,5673749,,0.04976380243897438,
125,5719139,,,0.052466992288827896
125,5719139,,0.05120711028575897,
126,5764529,,,0.04832638055086136
126,5764529,,0.04977618530392647,
127,5809919,,,0.07028716057538986
127,5809919,,0.04909311234951019,
128,5855309,,,0.05149191617965698
128,5855309,,0.04961822181940079,
129,5900699,,,0.053145378828048706
129,5900699,,0.04934316501021385,
130,5946089,,,0.04763105511665344
130,5946089,,0.04938330128788948,
131,5991479,,,0.047853726893663406
131,5991479,,0.049272872507572174,
132,6036869,,,0.04731741175055504
132,6036869,,0.04915113374590874,
133,6082259,,,0.051675185561180115
133,6082259,,0.04912029206752777,
134,6127649,,,0.047545067965984344
134,6127649,,0.05031536519527435,
135,6173039,,,0.05092925578355789
135,6173039,,0.050075970590114594,
136,6218429,,,0.05299246683716774
136,6218429,,0.049888499081134796,
137,6263819,,,0.051542893052101135
137,6263819,,0.04924212768673897,
138,6309209,,,0.05419250950217247
138,6309209,,0.05352640897035599,
139,6354599,,,0.054630111902952194
139,6354599,,0.05021819844841957,
140,6399989,,,0.050715409219264984
140,6399989,,0.04873950406908989,
141,6445379,,,0.05121760070323944
141,6445379,,0.05019807070493698,
142,6490769,,,0.04508150741457939
142,6490769,,0.0484815314412117,
143,6536159,,,0.05663473159074783
143,6536159,,0.05033532530069351,
144,6581549,,,0.049249518662691116
144,6581549,,0.0493103489279747,
145,6626939,,,0.052002016454935074
145,6626939,,0.05045492202043533,
146,6672329,,,0.044740207493305206
146,6672329,,0.04958763346076012,
147,6717719,,,0.048611048609018326
147,6717719,,0.04840599000453949,
148,6763109,,,0.052550651133060455
148,6763109,,0.04933967441320419,
149,6808499,,,0.04816385358572006
149,6808499,,0.04996316134929657,
150,6853889,,,0.07024164497852325
150,6853889,,0.04985577613115311,
151,6899279,,,0.050172559916973114
151,6899279,,0.04965391010046005,
152,6944669,,,0.06419947743415833
152,6944669,,0.04955234006047249,
153,6990059,,,0.04897657409310341
153,6990059,,0.048981450498104095,
154,7035449,,,0.04638480395078659
154,7035449,,0.04894429072737694,
155,7080839,,,0.06119348853826523
155,7080839,,0.0477931909263134,
156,7126229,,,0.045061882585287094
156,7126229,,0.04880746454000473,
157,7171619,,,0.05060570687055588
157,7171619,,0.04987254738807678,
158,7217009,,,0.09598300606012344
158,7217009,,0.08294618874788284,
159,7262399,,,0.05228943005204201
159,7262399,,0.055031996220350266,
160,7307789,,,0.053210802376270294
160,7307789,,0.05003226175904274,
161,7353179,,,0.06590010970830917
161,7353179,,0.050054147839546204,
162,7398569,,,0.045739881694316864
162,7398569,,0.04922286421060562,
163,7443959,,,0.045490339398384094
163,7443959,,0.04942985996603966,
164,7489349,,,0.04837207496166229
164,7489349,,0.04869981110095978,
165,7534739,,,0.04785595089197159
165,7534739,,0.049023885279893875,
166,7580129,,,0.04739273339509964
166,7580129,,0.048569608479738235,
167,7625519,,,0.045272912830114365
167,7625519,,0.04898318275809288,
168,7670909,,,0.04738464951515198
168,7670909,,0.048026684671640396,
169,7716299,,,0.05068902298808098
169,7716299,,0.04791775345802307,
170,7761689,,,0.04898180440068245
170,7761689,,0.04868336766958237,
171,7807079,,,0.04620380327105522
171,7807079,,0.04870329424738884,
172,7852469,,,0.050865452736616135
172,7852469,,0.0488361231982708,
173,7897859,,,0.04955848306417465
173,7897859,,0.04790126904845238,
174,7943249,,,0.04769178852438927
174,7943249,,0.048353441059589386,
175,7988639,,,0.051790397614240646
175,7988639,,0.048511892557144165,
176,8034029,,,0.04603547975420952
176,8034029,,0.048376280814409256,
177,8079419,,,0.05370930954813957
177,8079419,,0.04870181158185005,
178,8124809,,,0.04470719024538994
178,8124809,,0.04994288459420204,
179,8170199,,,0.06312397867441177
179,8170199,,0.048028457909822464,
180,8215589,,,0.04678308218717575
180,8215589,,0.04739099740982056,
181,8260979,,,0.04949919134378433
181,8260979,,0.04741397500038147,
182,8306369,,,0.04975799098610878
182,8306369,,0.048080239444971085,
183,8351759,,,0.0446472093462944
183,8351759,,0.04825634881854057,
184,8397149,,,0.04984647035598755
184,8397149,,0.04830402508378029,
185,8442539,,,0.050651922821998596
185,8442539,,0.0491652637720108,
186,8487929,,,0.04611319303512573
186,8487929,,0.048376914113759995,
187,8533319,,,0.05165257304906845
187,8533319,,0.04820703715085983,
188,8578709,,,0.04917276278138161
188,8578709,,0.048403870314359665,
189,8624099,,,0.05092785879969597
189,8624099,,0.04887146130204201,
190,8669489,,,0.046439141035079956
190,8669489,,0.04774077609181404,
191,8714879,,,0.04804883524775505
191,8714879,,0.04792673513293266,
192,8760269,,,0.05195695906877518
192,8760269,,0.047948580235242844,
193,8805659,,,0.051475558429956436
193,8805659,,0.047640811651945114,
194,8851049,,,0.0516681969165802
194,8851049,,0.04823997616767883,
195,8896439,,,0.047143664211034775
195,8896439,,0.047807563096284866,
196,8941829,,,0.05723349377512932
196,8941829,,0.04833406209945679,
197,8987219,,,0.04573912173509598
197,8987219,,0.047631584107875824,
198,9032609,,,0.054401349276304245
198,9032609,,0.04732578992843628,
199,9077999,,,0.048601552844047546
199,9077999,,0.0482795387506485,
200,9078000,0.04702077805995941,,
